servers's processes start in 15:59:12
iteration 0::  180.319 ms
iteration 1::  163.178 ms
iteration 2::  147.165 ms
iteration 3::  146.515 ms
iteration 4::  145.53 ms
iteration 5::  158.711 ms
iteration 6::  174.046 ms
iteration 7::  157.9 ms
iteration 8::  173.452 ms
iteration 9::  158.163 ms
iteration 10::  158.021 ms
iteration 11::  150.124 ms
iteration 12::  136.653 ms
iteration 13::  158.609 ms
iteration 14::  132.169 ms
iteration 15::  150.988 ms
iteration 16::  132.055 ms
iteration 17::  157.291 ms
iteration 18::  152.895 ms
iteration 19::  131.989 ms
iteration 20::  131.864 ms
iteration 21::  131.738 ms
iteration 22::  113.575 ms
iteration 23::  153.512 ms
iteration 24::  132.322 ms
iteration 25::  159.137 ms
iteration 26::  178.748 ms
iteration 27::  171.359 ms
iteration 28::  144.635 ms
iteration 29::  158.193 ms
iteration 30::  132.874 ms
iteration 31::  133.301 ms
iteration 32::  159.295 ms
iteration 33::  141.052 ms
iteration 34::  159.786 ms
iteration 35::  133.846 ms
iteration 36::  151.81 ms
iteration 37::  106.148 ms
iteration 38::  145.815 ms
iteration 39::  149.927 ms
iteration 40::  100.331 ms
iteration 41::  137.225 ms
iteration 42::  134.712 ms
iteration 43::  156.118 ms
iteration 44::  95.0401 ms
iteration 45::  96.1405 ms
iteration 46::  153.336 ms
iteration 47::  146.222 ms
iteration 48::  100.54 ms
iteration 49::  102.41 ms
iteration 50::  140.789 ms
iteration 51::  157.226 ms
iteration 52::  160.359 ms
iteration 53::  151.199 ms
iteration 54::  133.634 ms
iteration 55::  133.923 ms
iteration 56::  149.189 ms
iteration 57::  134.3 ms
iteration 58::  134.771 ms
iteration 59::  134.657 ms
iteration 60::  155.262 ms
iteration 61::  153.381 ms
iteration 62::  156.21 ms
iteration 63::  132.941 ms
iteration 64::  133.32 ms
iteration 65::  157.504 ms
iteration 66::  134.685 ms
iteration 67::  155.821 ms
iteration 68::  133.481 ms
iteration 69::  134.359 ms
iteration 70::  133.438 ms
iteration 71::  156.206 ms
iteration 72::  134.748 ms
iteration 73::  134.968 ms
iteration 74::  154.635 ms
iteration 75::  134.07 ms
iteration 76::  154.796 ms
iteration 77::  160.191 ms
iteration 78::  145.961 ms
iteration 79::  164.913 ms
iteration 80::  142.205 ms
iteration 81::  160.78 ms
iteration 82::  161.181 ms
iteration 83::  160.198 ms
iteration 84::  134.682 ms
iteration 85::  133.693 ms
iteration 86::  167.961 ms
iteration 87::  159.98 ms
iteration 88::  133.8 ms
iteration 89::  150.254 ms
iteration 90::  133.68 ms
iteration 91::  133.989 ms
iteration 92::  147.222 ms
iteration 93::  134.91 ms
iteration 94::  153.235 ms
iteration 95::  133.804 ms
iteration 96::  134.154 ms
iteration 97::  133.869 ms
iteration 98::  112.154 ms
iteration 99::  103.618 ms
iteration 100::  101.546 ms
iteration 101::  100.777 ms
iteration 102::  101.349 ms
iteration 103::  151.778 ms
iteration 104::  141.998 ms
iteration 105::  106.243 ms
iteration 106::  155.024 ms
iteration 107::  134.868 ms
iteration 108::  134.776 ms
iteration 109::  134.538 ms
iteration 110::  152.96 ms
iteration 111::  158.16 ms
iteration 112::  153.55 ms
iteration 113::  134.026 ms
iteration 114::  154.288 ms
iteration 115::  156.248 ms
iteration 116::  157.683 ms
iteration 117::  153.149 ms
iteration 118::  158.474 ms
iteration 119::  147.11 ms
iteration 120::  159.679 ms
iteration 121::  136.326 ms
iteration 122::  160.757 ms
iteration 123::  162.259 ms
iteration 124::  139.24 ms
iteration 125::  159.565 ms
iteration 126::  172.574 ms
iteration 127::  156.361 ms
iteration 128::  134.782 ms
iteration 129::  160.374 ms
iteration 130::  133.966 ms
iteration 131::  158.065 ms
iteration 132::  152.217 ms
iteration 133::  159.458 ms
iteration 134::  154.282 ms
iteration 135::  163.513 ms
iteration 136::  154.319 ms
iteration 137::  152.557 ms
iteration 138::  155.457 ms
iteration 139::  133.733 ms
iteration 140::  134.097 ms
iteration 141::  168.143 ms
iteration 142::  160.305 ms
iteration 143::  105.547 ms
iteration 144::  175.011 ms
iteration 145::  134.613 ms
iteration 146::  134.482 ms
iteration 147::  133.669 ms
iteration 148::  134.168 ms
iteration 149::  113.212 ms
iteration 150::  101.703 ms
iteration 151::  159.207 ms
iteration 152::  144.428 ms
iteration 153::  160.637 ms
iteration 154::  152.257 ms
iteration 155::  159.585 ms
iteration 156::  175.037 ms
iteration 157::  172.675 ms
iteration 158::  141.566 ms
iteration 159::  146.165 ms
iteration 160::  99.268 ms
iteration 161::  156.344 ms
iteration 162::  133.801 ms
iteration 163::  134.193 ms
iteration 164::  141.153 ms
iteration 165::  146.762 ms
iteration 166::  155.08 ms
iteration 167::  134.091 ms
iteration 168::  153.517 ms
iteration 169::  158.76 ms
iteration 170::  158.407 ms
iteration 171::  133.575 ms
iteration 172::  153.007 ms
iteration 173::  133.978 ms
iteration 174::  171.759 ms
iteration 175::  169.297 ms
iteration 176::  144.239 ms
iteration 177::  151.619 ms
iteration 178::  152.395 ms
iteration 179::  174.653 ms
iteration 180::  155.32 ms
iteration 181::  159.577 ms
iteration 182::  183.748 ms
iteration 183::  160.358 ms
iteration 184::  157.372 ms
iteration 185::  134.064 ms
iteration 186::  159.119 ms
iteration 187::  133.846 ms
iteration 188::  144.368 ms
iteration 189::  134.372 ms
iteration 190::  159.244 ms
iteration 191::  104.908 ms
iteration 192::  133.419 ms
iteration 193::  137.867 ms
iteration 194::  134.528 ms
iteration 195::  134.28 ms
iteration 196::  159.129 ms
iteration 197::  160.766 ms
iteration 198::  133.123 ms
iteration 199::  107.352 ms
iteration 200::  160.86 ms
iteration 201::  163.062 ms
iteration 202::  110.362 ms
iteration 203::  160.965 ms
iteration 204::  132.916 ms
iteration 205::  157.265 ms
iteration 206::  160.498 ms
iteration 207::  139.067 ms
iteration 208::  134.459 ms
iteration 209::  134.81 ms
iteration 210::  160.606 ms
iteration 211::  161.061 ms
iteration 212::  135.738 ms
iteration 213::  134.574 ms
iteration 214::  140.659 ms
iteration 215::  197.338 ms
iteration 216::  160.774 ms
iteration 217::  158.648 ms
iteration 218::  160.75 ms
iteration 219::  130.32 ms
iteration 220::  105.657 ms
iteration 221::  142.216 ms
iteration 222::  145.079 ms
iteration 223::  161.593 ms
iteration 224::  133.642 ms
iteration 225::  150.652 ms
iteration 226::  155.32 ms
iteration 227::  111.313 ms
iteration 228::  137.474 ms
iteration 229::  152.774 ms
iteration 230::  171.231 ms
iteration 231::  160.559 ms
iteration 232::  159.246 ms
iteration 233::  146.21 ms
iteration 234::  133.907 ms
iteration 235::  160.885 ms
iteration 236::  137.657 ms
iteration 237::  136.197 ms
iteration 238::  161.735 ms
iteration 239::  133.83 ms
iteration 240::  134.095 ms
iteration 241::  134.235 ms
iteration 242::  138.21 ms
iteration 243::  160.488 ms
iteration 244::  175.138 ms
iteration 245::  171.189 ms
iteration 246::  149.687 ms
iteration 247::  134.277 ms
iteration 248::  184.64 ms
iteration 249::  136.063 ms
iteration 250::  135.372 ms
iteration 251::  160.473 ms
iteration 252::  134.143 ms
iteration 253::  133.939 ms
iteration 254::  134.664 ms
iteration 255::  115.609 ms
iteration 256::  147.065 ms
iteration 257::  134.76 ms
iteration 258::  166.124 ms
iteration 259::  134.208 ms
iteration 260::  149.227 ms
iteration 261::  125.74 ms
iteration 262::  181.047 ms
iteration 263::  137.029 ms
iteration 264::  133.509 ms
iteration 265::  138.293 ms
iteration 266::  160.515 ms
iteration 267::  129.848 ms
iteration 268::  98.2291 ms
iteration 269::  125.555 ms
iteration 270::  164.935 ms
iteration 271::  125.351 ms
iteration 272::  156.219 ms
iteration 273::  161.08 ms
iteration 274::  141.058 ms
iteration 275::  161.674 ms
iteration 276::  157.481 ms
iteration 277::  152.938 ms
iteration 278::  134.173 ms
iteration 279::  160.416 ms
iteration 280::  134.308 ms
iteration 281::  134.237 ms
iteration 282::  104.783 ms
iteration 283::  106.899 ms
iteration 284::  105.752 ms
iteration 285::  107.041 ms
iteration 286::  104.355 ms
iteration 287::  157.06 ms
iteration 288::  115.41 ms
new connection in 15:59:54
iteration 289::  160.887 ms
iteration 290::  111.929 ms
iteration 291::  75.928 ms
iteration 292::  89.1181 ms
iteration 293::  86.1833 ms
iteration 294::  75.8715 ms
iteration 295::  82.2216 ms
